TILT,TIME
-0.007594,30064
-0.007328,30074
-0.007727,30084
-0.005196,30094
-0.003597,30104
-0.007461,30114
-0.004796,30124
0.001732,30134
0.005862,30144
0.002265,30154
-0.009459,30164
-0.006395,30174
-0.002265,30184
0.006262,30194
0.01279,30204
0.01319,30214
0.015455,30224
0.013323,30234
0.000799,30244
-0.010259,30254
-0.018786,30264
-0.015055,30274
-0.003997,30284
-0.000533,30294
-0.001865,30304
-0.000933,30314
0.006528,30324
0.013989,30334
0.019851,30344
0.031043,30354
0.027845,30364
0.028511,30374
0.027046,30384
0.025047,30394
0.02185,30404
0.023582,30414
0.026913,30424
0.031576,30434
0.037704,30444
0.032775,30454
0.026247,30464
0.024381,30474
0.019319,30484
0.011591,30494
0.007727,30504
0.008127,30514
0.007061,30524
0.00866,30534
0.008127,30544
0.005862,30554
0.000933,30564
-0.00493,30574
-0.002931,30584
0,31600
-0.108051,31604
-0.102322,31608
-0.104453,31611
-0.100856,31615
-0.080472,31618
-0.093262,31622
-0.113779,31625
-0.081005,31629
-0.055691,31632
-0.049429,31636
-0.072744,31639
-0.017853,31643
0.007328,31646
0.005596,31650
-0.055557,31653
-0.021983,31657
0.025314,31661
-0.036505,31664
-0.133764,31668
-0.109783,31671
-0.048763,31675
-0.128968,31678
-0.201046,31682
-0.148553,31685
-0.075942,31689
-0.134963,31692
-0.190654,31696
-0.135763,31699
-0.050095,31703
-0.103521,31706
-0.148953,31710
-0.116178,31713
-0.077274,31717
-0.153083,31720
-0.189055,31724
-0.1303,31727
-0.107251,31731
-0.217034,31734
-0.268727,31738
-0.220231,31741
-0.191054,31745
-0.266862,31748
-0.316424,31752
-0.267928,31755
-0.218899,31759
-0.25607,31762
-0.257802,31766
-0.178263,31769
-0.160277,31773
-0.180662,31776
-0.198914,31780
-0.199447,31783
-0.166406,31787
-0.142957,31790
-0.189055,31794
-0.249142,31797
-0.214769,31800
-0.149619,31804
-0.120574,31807
-0.201446,31811
-0.214636,31814
-0.152017,31818
-0.129501,31821
-0.20864,31825
-0.222763,31828
-0.160144,31832
-0.123772,31835
-0.14842,31838
-0.188256,31842
-0.147887,31845
-0.114179,31849
-0.137628,31852
-0.171069,31856
-0.134297,31859
