TILT,TIME
-0.003584,13464
-0.003569,13474
-0.003545,13484
-0.003468,13494
-0.003465,13504
-0.003293,13514
-0.003208,13524
-0.00327,13534
-0.003283,13544
-0.003264,13554
-0.003227,13564
-0.003239,13574
-0.003161,13584
-0.003021,13594
-0.003037,13604
-0.002941,13614
-0.002787,13624
-0.002571,13634
-0.00241,13644
-0.002173,13654
-0.001918,13664
-0.001628,13674
-0.001432,13684
-0.001299,13694
-0.00107,13704
-0.000806,13714
-0.000617,13724
-0.000486,13734
-0.000301,13744
-0.000143,13754
-6.6e-05,13764
-0.000314,13774
-0.000889,13784
-0.001924,13794
-0.003357,13804
-0.005051,13814
-0.006842,13824
-0.008755,13834
-0.010464,13844
-0.012064,13854
-0.013386,13864
-0.014576,13874
-0.015602,13884
-0.016315,13894
-0.016509,13904
-0.016121,13914
-0.015365,13924
-0.014459,13934
-0.013422,13944
-0.012363,13954
-0.011248,13964
-0.010206,13974
-0.00934,13984
-0.008695,13994
-0.008387,14004
-0.008121,14014
-0.007951,14024
-0.008175,14034
-0.008716,14044
-0.00986,14054
-0.011016,14064
-0.012142,14074
-0.013347,14084
-0.014853,14094
-0.01668,14104
-0.018486,14114
-0.020033,14124
-0.021105,14134
-0.021684,14144
-0.02194,14154
-0.022079,14164
-0.022173,14174
-0.022161,14184
-0.022021,14194
-0.021769,14204
-0.021234,14214
-0.020221,14224
-0.018941,14234
-0.017585,14244
-0.016081,14254
-0.014615,14264
-0.013167,14274
-0.011436,14284
-0.009681,14294
-0.007892,14304
-0.006347,14314
-0.005139,14324
-0.004234,14334
-0.003468,14344
-0.002901,14354
-0.002477,14364
-0.002153,14374
-0.001962,14384
-0.001895,14394
-0.002014,14404
-0.002463,14414
-0.003129,14424
-0.003976,14434
-0.004811,14444
-0.005447,14454
-0.006119,14464
-0.006978,14474
-0.007769,14484
-0.008196,14494
-0.008544,14504
-0.00875,14514
-0.008978,14524
-0.009469,14534
-0.010254,14544
-0.011114,14554
-0.012057,14564
-0.012908,14574
-0.013544,14584
-0.013796,14594
-0.013721,14604
-0.01349,14614
-0.013205,14624
-0.012786,14634
-0.012333,14644
-0.011715,14654
-0.011086,14664
-0.010479,14674
-0.009857,14684
-0.009281,14694
-0.008677,14704
-0.008228,14714
-0.007815,14724
-0.0075,14734
-0.007072,14744
-0.006563,14754
-0.006044,14764
-0.005396,14774
